Tags,Meaning
gitlab-pages,
xsb,"XSB is a Prolog dialect developed at Stony Brook University in collaboration with the Katholieke Universiteit Leuven, the New University of Lisbon, Uppsala University and software vendor XSB, Inc."
kableextra,
sandbox,"Sandbox is a security mechanism for containing untrusted programs. Such programs could contain malicious code, which would harm the user&#39;s system."
azure-rm,This is the tag for the azurerm terraform provider. This tag should be used alongside the terraform tag for help with the Azure provider in terraform scripts and provisioning azure resources using terraform scripts.
flask-caching,
restart,Restart refers to the process where a software program or system is systematically (and preferably gracefully) shut down then automatically invoked to full functionality without intervention from the user.
one-time-password,One time passwords are designed as single use passwords which expire after use. They are often more secure than single factor authentication methods such as username-password (something the user knows) due to their single use which makes replay attacks impossible
long-integer,"A long integer is an integer number, typically twice the size of a standard integer. It is represented by the keyword &#39;long&#39; in several programming languages."
antiforgerytoken,Cryptographic Nonce for anti-CSRF protection
irr,The internal rate of return (IRR) or economic rate of return (ERR) is a rate of return used in capital budgeting to measure and compare the profitability of investments. It is also called the discounted cash flow rate of return (DCFROR) or the rate of return (ROR)
elasticsearch-6,"Use this tag for version specific questions about Elasticsearch 6 - the distributed, RESTful search and analytics engine. When using this tag also include the more generic [elasticsearch] tag where possible."
named-pipes,"A named pipe is an inter-process communication mechanism, which exists both on Unix and Unix-like systems (where it is also known as a FIFO and is file-like), and on Microsoft Windows (where it is an in-memory kernel object). The semantics and APIs differ substantially between the platforms. 
"
mirage,"An OCaml-based programming framework for building type-safe, modular systems."
event-dispatching,
codespaces,Directed to be used only when the question is related to Visual Studio Codespaces (a Cloud IDE).
stroke,a line drawn along a path 
ioc-container,"In object oriented languages, an inversion of control container (ioc-container) can be used for configuring and managing objects in an application."
int,"A data type that represents an integer. An integer is a whole number that can be negative, positive, or zero. (i.e. ...-2, -1, 0, 1, 2...) Use this tag for questions about using, storing, or manipulating integers. "
